fixture,category,condition,file_name,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,container,implementation_level,declared_edition,required_edition,declared_conformance_class,required_conformance_class,features,data_section_count,entity_count,anchor_count,external_reference_count,signature_count,archive_entry_count,diagnostic_line,diagnostic_column,steputils_outcome,ifcopenshell_parser_outcome,schema_conformance,source_sha256
edition1_minimal,edition,edition_1_single_data,edition1_minimal.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,2;1,1,1,1,1,,1,1,0,0,0,0,,,accept,accept,not_evaluated,0ecacef60baef379153e2e0436bb729487422b9c7e37a94ef48c3520cb4d3a50
edition1_legacy_x2,character_encoding,edition_1_x2_unicode_control,edition1_legacy_x2.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,2;1,1,1,1,1,legacy_string_control,1,1,0,0,0,0,,,accept,accept,not_evaluated,25678a9973470eb66e839471473017854ae438b350e69a4ddc1a8ff22ca64fb8
edition1_legacy_controls,character_encoding,legacy_arbitrary_x4_page_and_print_controls,edition1_legacy_controls.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,2;1,1,1,1,1,legacy_string_control,1,1,0,0,0,0,,,accept,reject,not_evaluated,24b28a843d408ad3be8e3223aeaa303da4d16d5b29f4a8a933f996fb8ef4dfc9
edition1_binary,binary,valid_binary_with_unused_bit_count,edition1_binary.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,2;1,1,1,1,1,binary,1,1,0,0,0,0,,,accept,accept,not_evaluated,03acbb25afa93984a9de84533cfc0f442db48be85ce4f1668c46cd9d54730e36
edition1_comment,comment,non_nested_comment_between_tokens,edition1_comment.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,2;1,1,1,1,1,comment,1,1,0,0,0,0,,,accept,accept,not_evaluated,0c3e4ca0aec74702071c0cb38a315308d9ec3da60874b88bdde1f51ca3a9665a
edition2_multiple_data,edition,edition_2_named_data_sections,edition2_multiple_data.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,3;1,2,2,1,1,multiple_data_sections,2,2,0,0,0,0,,,reject,reject,not_evaluated,441b1eb535a8128a45f42e9af28fde9308a564f3a0624503e9e283e4028c496a
edition2_section_context,header,edition_2_section_context_header,edition2_section_context.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,3;1,2,2,1,1,edition2_header,1,1,0,0,0,0,,,accept,reject,not_evaluated,e740dac047375332eabfc7a27e1683d43fb5c649ba93e1b6e31ceedf7f25ecee
edition3_utf8,character_encoding,edition_3_direct_utf8,edition3_utf8.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,4;1,3,3,1,1,direct_utf8,1,1,0,0,0,0,,,reject,reject,not_evaluated,bba4b6cb2160e28f7766b256c28c9530884b3973a64b14b83e355b7898bfd306
edition3_anchor,anchor,edition_3_anchor_and_tag,edition3_anchor.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,4;1,3,3,1,1,anchor_section,1,1,1,0,0,0,,,reject,reject,not_evaluated,6a9cde507e13330a3cb873d52e91552e09185b3b896b1354073016ab24c9a443
edition3_reference,external_reference,edition_3_entity_reference,edition3_reference.step,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,clear_text,4;2,3,3,2,2,reference_section,1,1,0,1,0,0,,,reject,reject,not_evaluated,1f9f7418bc14bf1e3ea4df8696a29469bc521216e99c75aafb74f506e2f6f3ea
