fixture,occurrence_index,role,source_entity_id,target_entity_id,source_edge_index,parameter_path,source_line,source_column
single_translation,0,assembly_occurrence.parent_definition,1000,102,38,3,41,84
single_translation,0,assembly_occurrence.child_definition,1000,202,39,4,41,89
single_translation,0,occurrence_shape.definition,1001,1000,40,2,42,38
single_translation,0,context_dependent_shape_representation.represented_product_relation,1002,1001,42,1,43,52
single_translation,0,context_dependent_shape_representation.representation_relation,1002,1003,41,0,43,46
single_translation,0,representation_relationship.child_representation,1003,205,43,2,44,42
single_translation,0,representation_relationship.parent_representation,1003,105,44,3,44,47
single_translation,0,representation_relationship.transformation_operator,1003,1004,45,0,44,100
single_translation,0,item_defined_transformation.transform_item_1,1004,1005,46,2,45,41
single_translation,0,item_defined_transformation.transform_item_2,1004,1006,47,3,45,47
single_translation,0,child_representation.items,205,1005,29,1.2,31,55
single_translation,0,parent_representation.items,105,1006,11,1.2,16,54
single_translation,0,product_definition_shape.definition,203,202,24,2,29,37
single_translation,0,shape_definition_representation.definition,204,203,25,0,30,38
single_translation,0,shape_definition_representation.used_representation,204,205,26,1,30,43
single_translation,0,product_definition_shape.definition,103,102,6,2,14,37
single_translation,0,shape_definition_representation.definition,104,103,7,0,15,38
single_translation,0,shape_definition_representation.used_representation,104,105,8,1,15,43
single_translation,0,child_representation.context_of_items,205,211,30,2,31,62
single_translation,0,child_representation.length_unit,211,212,35,0.0,37,72
single_translation,0,parent_representation.context_of_items,105,111,12,2,16,61
single_translation,0,parent_representation.length_unit,111,112,17,0.0,22,72
single_translation,0,source_placement.location,1005,1007,48,1,46,29
single_translation,0,source_placement.axis,1005,1009,49,2,46,35
single_translation,0,source_placement.reference_direction,1005,1010,50,3,46,41
single_translation,0,target_placement.location,1006,1008,51,1,47,29
single_translation,0,target_placement.axis,1006,1011,52,2,47,35
single_translation,0,target_placement.reference_direction,1006,1012,53,3,47,41
rotated_occurrence,0,assembly_occurrence.parent_definition,1000,102,38,3,41,84
rotated_occurrence,0,assembly_occurrence.child_definition,1000,202,39,4,41,89
rotated_occurrence,0,occurrence_shape.definition,1001,1000,40,2,42,38
rotated_occurrence,0,context_dependent_shape_representation.represented_product_relation,1002,1001,42,1,43,52
rotated_occurrence,0,context_dependent_shape_representation.representation_relation,1002,1003,41,0,43,46
rotated_occurrence,0,representation_relationship.child_representation,1003,205,43,2,44,42
rotated_occurrence,0,representation_relationship.parent_representation,1003,105,44,3,44,47
rotated_occurrence,0,representation_relationship.transformation_operator,1003,1004,45,0,44,100
rotated_occurrence,0,item_defined_transformation.transform_item_1,1004,1005,46,2,45,41
rotated_occurrence,0,item_defined_transformation.transform_item_2,1004,1006,47,3,45,47
rotated_occurrence,0,child_representation.items,205,1005,29,1.2,31,55
rotated_occurrence,0,parent_representation.items,105,1006,11,1.2,16,54
rotated_occurrence,0,product_definition_shape.definition,203,202,24,2,29,37
rotated_occurrence,0,shape_definition_representation.definition,204,203,25,0,30,38
rotated_occurrence,0,shape_definition_representation.used_representation,204,205,26,1,30,43
rotated_occurrence,0,product_definition_shape.definition,103,102,6,2,14,37
rotated_occurrence,0,shape_definition_representation.definition,104,103,7,0,15,38
rotated_occurrence,0,shape_definition_representation.used_representation,104,105,8,1,15,43
rotated_occurrence,0,child_representation.context_of_items,205,211,30,2,31,62
rotated_occurrence,0,child_representation.length_unit,211,212,35,0.0,37,72
rotated_occurrence,0,parent_representation.context_of_items,105,111,12,2,16,61
rotated_occurrence,0,parent_representation.length_unit,111,112,17,0.0,22,72
rotated_occurrence,0,source_placement.location,1005,1007,48,1,46,29
rotated_occurrence,0,source_placement.axis,1005,1009,49,2,46,35
rotated_occurrence,0,source_placement.reference_direction,1005,1010,50,3,46,41
rotated_occurrence,0,target_placement.location,1006,1008,51,1,47,29
rotated_occurrence,0,target_placement.axis,1006,1011,52,2,47,35
rotated_occurrence,0,target_placement.reference_direction,1006,1012,53,3,47,41
source_frame_offset,0,assembly_occurrence.parent_definition,1000,102,38,3,41,84
source_frame_offset,0,assembly_occurrence.child_definition,1000,202,39,4,41,89
source_frame_offset,0,occurrence_shape.definition,1001,1000,40,2,42,38
source_frame_offset,0,context_dependent_shape_representation.represented_product_relation,1002,1001,42,1,43,52
source_frame_offset,0,context_dependent_shape_representation.representation_relation,1002,1003,41,0,43,46
source_frame_offset,0,representation_relationship.child_representation,1003,205,43,2,44,42
source_frame_offset,0,representation_relationship.parent_representation,1003,105,44,3,44,47
source_frame_offset,0,representation_relationship.transformation_operator,1003,1004,45,0,44,100
