fixture,condition,file_name,expected_decision,expected_reason_code,max_file_bytes,max_tokens,max_entities,max_references,max_nesting_depth,max_token_chars,source_bytes,source_sha256
geometry_control,v021_closed_tetrahedron_through_unified_parser,geometry_control.step,accept,source_model_parsed,2000000,250000,20000,100000,32,16384,2950,609254c253acc8ef0552b65fa0ae88ca85d5e911e23736fca0909819c59f033a
trivia_preservation,whitespace_comments_and_escaped_apostrophe,trivia_preservation.step,accept,source_model_parsed,2000000,250000,20000,100000,32,16384,347,2e61fb58eddb981d069e3e0c6a2d802208282fbbfa848500f66ac98e905765b1
utf8_coordinates,utf8_byte_and_character_offsets_diverge,utf8_coordinates.step,accept,source_model_parsed,2000000,250000,20000,100000,32,16384,290,5dea34a62e818663a7fabbcbe2d47437d1f2262a366cba848be68dcc5e37ef91
simple_and_complex,simple_and_subsuper_records_share_one_grammar,simple_and_complex.step,accept,source_model_parsed,2000000,250000,20000,100000,32,16384,313,2f56318ba75e0fbb0f9df6def63dcfd12877117e243bab1b4ffe63b578cfded3
forward_reference,reference_precedes_target_definition,forward_reference.step,accept,source_model_parsed,2000000,250000,20000,100000,32,16384,280,d63bec4695f36f0c0c125d34116369d77c125832eadc3ca69db5775b318d3edf
missing_semicolon,entity_terminator_is_missing,missing_semicolon.step,reject,unexpected_token,2000000,250000,20000,100000,32,16384,267,db13313b9dc17f7f54f71adcad336138472eccc5f31f2762cdcb647a5e57e45a
unterminated_comment,comment_reaches_end_of_file,unterminated_comment.step,reject,unterminated_comment,2000000,250000,20000,100000,32,16384,276,c9edb8331c996874dba240745cda3e8fcdb72f9a75845b6f7559df98702f8977
nesting_limit,aggregate_depth_exceeds_explicit_budget,nesting_limit.step,quarantine,nesting_depth_limit,2000000,250000,20000,100000,8,16384,283,ceb274513a226c37c45c56cbf0a13747364640ce840330d855be2bb1d7422b66
token_length_limit,one_string_exceeds_explicit_budget,token_length_limit.step,quarantine,token_length_limit,2000000,250000,20000,100000,32,48,311,a933560c0f9fbe6747b1acfca20c5c62108a0713965fd78c2b720a77fec89bb6
invalid_utf8,source_contains_invalid_utf8_octets,invalid_utf8.step,reject,invalid_utf8,2000000,250000,20000,100000,32,16384,268,78fe3ea6f510a43188292faa292ced09a66d4234d7a8fb1d28a370d6feb50cd4
