fixture,path_index,role,source_entity_id,target_entity_id,source_edge_index,parameter_path,source_line,source_column
ap242_block_path,0,product_definition.formation,6,4,4,2,13,35
ap242_block_path,0,product_definition.frame_of_reference,6,5,5,3,13,38
ap242_block_path,0,product_definition_formation.of_product,4,3,2,2,11,44
ap242_block_path,0,product_definition_shape.definition,7,6,6,2,14,35
ap242_block_path,0,shape_definition_representation.definition,8,7,7,0,15,36
ap242_block_path,0,shape_definition_representation.used_representation,8,20,8,1,15,39
ap242_block_path,0,representation.context_of_items,20,40,11,2,16,55
ap242_block_path,0,representation.items,20,30,9,1/0,16,46
ap242_block_path,0,representation.items,20,31,10,1/1,16,50
ap242_block_path,0,global_unit_assigned_context.units,40,41,16,0/0,22,71
ap242_block_path,0,global_unit_assigned_context.units,40,42,17,0/1,22,75
ap242_block_path,0,global_unit_assigned_context.units,40,43,18,0/2,22,79
ap242_advanced_brep_root,0,product_definition.formation,106,104,101,2,87,37
ap242_advanced_brep_root,0,product_definition.frame_of_reference,106,105,102,3,87,42
ap242_advanced_brep_root,0,product_definition_formation.of_product,104,103,99,2,85,46
ap242_advanced_brep_root,0,product_definition_shape.definition,107,106,103,2,88,37
ap242_advanced_brep_root,0,shape_definition_representation.definition,108,107,104,0,89,38
ap242_advanced_brep_root,0,shape_definition_representation.used_representation,108,120,105,1,89,43
ap242_advanced_brep_root,0,representation.context_of_items,120,140,108,2,90,76
ap242_advanced_brep_root,0,representation.items,120,35,106,1/0,90,67
ap242_advanced_brep_root,0,representation.items,120,74,107,1/1,90,71
ap242_advanced_brep_root,0,global_unit_assigned_context.units,140,141,109,0/0,91,72
ap242_advanced_brep_root,0,global_unit_assigned_context.units,140,142,110,0/1,91,77
ap242_advanced_brep_root,0,global_unit_assigned_context.units,140,143,111,0/2,91,82
ap242_multiple_representations,0,product_definition.formation,6,4,4,2,13,35
ap242_multiple_representations,0,product_definition.frame_of_reference,6,5,5,3,13,38
ap242_multiple_representations,0,product_definition_formation.of_product,4,3,2,2,11,44
ap242_multiple_representations,0,product_definition_shape.definition,7,6,6,2,14,35
ap242_multiple_representations,0,shape_definition_representation.definition,8,7,7,0,15,36
ap242_multiple_representations,0,shape_definition_representation.used_representation,8,20,8,1,15,39
ap242_multiple_representations,0,representation.context_of_items,20,40,11,2,16,55
ap242_multiple_representations,0,representation.items,20,30,9,1/0,16,46
ap242_multiple_representations,0,representation.items,20,31,10,1/1,16,50
ap242_multiple_representations,0,global_unit_assigned_context.units,40,41,16,0/0,22,71
ap242_multiple_representations,0,global_unit_assigned_context.units,40,42,17,0/1,22,75
ap242_multiple_representations,0,global_unit_assigned_context.units,40,43,18,0/2,22,79
ap242_multiple_representations,1,product_definition.formation,6,4,4,2,13,35
ap242_multiple_representations,1,product_definition.frame_of_reference,6,5,5,3,13,38
ap242_multiple_representations,1,product_definition_formation.of_product,4,3,2,2,11,44
ap242_multiple_representations,1,product_definition_shape.definition,7,6,6,2,14,35
ap242_multiple_representations,1,shape_definition_representation.definition,9,7,19,0,26,36
ap242_multiple_representations,1,shape_definition_representation.used_representation,9,21,20,1,26,39
ap242_multiple_representations,1,representation.context_of_items,21,40,22,2,27,50
ap242_multiple_representations,1,representation.items,21,30,21,1/0,27,45
ap242_multiple_representations,1,global_unit_assigned_context.units,40,41,16,0/0,22,71
ap242_multiple_representations,1,global_unit_assigned_context.units,40,42,17,0/1,22,75
ap242_multiple_representations,1,global_unit_assigned_context.units,40,43,18,0/2,22,79
unclassified_item,0,product_definition.formation,6,4,4,2,13,35
unclassified_item,0,product_definition.frame_of_reference,6,5,5,3,13,38
unclassified_item,0,product_definition_formation.of_product,4,3,2,2,11,44
unclassified_item,0,product_definition_shape.definition,7,6,6,2,14,35
unclassified_item,0,shape_definition_representation.definition,8,7,7,0,15,36
unclassified_item,0,shape_definition_representation.used_representation,8,20,8,1,15,39
unclassified_item,0,representation.context_of_items,20,40,11,2,16,55
unclassified_item,0,representation.items,20,30,9,1/0,16,46
unclassified_item,0,representation.items,20,35,10,1/1,16,50
unclassified_item,0,global_unit_assigned_context.units,40,41,16,0/0,22,71
unclassified_item,0,global_unit_assigned_context.units,40,42,17,0/1,22,75
unclassified_item,0,global_unit_assigned_context.units,40,43,18,0/2,22,79
