platform_label,fixture,condition,profile,require_integrity,opaque_metadata_policy,retention_policy,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,emitted,stages_evaluated,decisive_stage,trace,source_field_count,retained_field_count,dropped_field_count,opaque_component_count,integrity_status_before,integrity_status_after,input_sha256,output_sha256
linux-x64-reference,clean_unsigned,clean_unsigned,minimal_export,0,strip,strip_all,sanitize,sanitize,1,policy_sanitize,policy_sanitize,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:pass:integrity_optional_missing:0|retention:transform:policy_sanitize:1,6,0,6,0,missing_assertion,missing_assertion,29c3b6794f440502034775efed688167369af386774c3128adbbd9b11fca9e8e,5ca8e2bab66742bb5c4b28b542dd0867179a6fb4a5207dc939d405f7d38fa641
linux-x64-reference,clean_unsigned,clean_unsigned,open_catalog,0,allow,retain_all,accept,accept,1,policy_accept,policy_accept,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:pass:integrity_optional_missing:0|retention:emit:policy_accept:1,6,6,0,0,missing_assertion,missing_assertion,29c3b6794f440502034775efed688167369af386774c3128adbbd9b11fca9e8e,29c3b6794f440502034775efed688167369af386774c3128adbbd9b11fca9e8e
linux-x64-reference,clean_unsigned,clean_unsigned,privacy_review,0,quarantine,allow_visual_context,sanitize,sanitize,1,policy_sanitize,policy_sanitize,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:pass:integrity_optional_missing:0|retention:transform:policy_sanitize:1,6,2,4,0,missing_assertion,missing_assertion,29c3b6794f440502034775efed688167369af386774c3128adbbd9b11fca9e8e,34673c3bc97f938c3530a095148c58022be9d79996fed41f295418f6705ac4f2
linux-x64-reference,clean_unsigned,clean_unsigned,verified_archive,1,quarantine,retain_all,quarantine,quarantine,1,integrity_required_missing,integrity_required_missing,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_required_missing:1,0,0,0,0,missing_assertion,not_emitted,29c3b6794f440502034775efed688167369af386774c3128adbbd9b11fca9e8e,
linux-x64-reference,clean_valid_assertion,clean_valid_assertion,minimal_export,0,strip,strip_all,sanitize,sanitize,1,policy_sanitize,policy_sanitize,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:pass:valid_binding:0|retention:transform:policy_sanitize:1,6,0,6,0,valid_binding,missing_assertion,ddc968f559f671e42944635a9ffb56b2a2d9a938d167546c5349f617a09fa9f0,5ca8e2bab66742bb5c4b28b542dd0867179a6fb4a5207dc939d405f7d38fa641
linux-x64-reference,clean_valid_assertion,clean_valid_assertion,open_catalog,0,allow,retain_all,accept,accept,1,policy_accept,policy_accept,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:pass:valid_binding:0|retention:emit:policy_accept:1,6,6,0,0,valid_binding,valid_binding,ddc968f559f671e42944635a9ffb56b2a2d9a938d167546c5349f617a09fa9f0,ddc968f559f671e42944635a9ffb56b2a2d9a938d167546c5349f617a09fa9f0
linux-x64-reference,clean_valid_assertion,clean_valid_assertion,privacy_review,0,quarantine,allow_visual_context,sanitize,sanitize,1,policy_sanitize,policy_sanitize,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:pass:valid_binding:0|retention:transform:policy_sanitize:1,6,2,4,0,valid_binding,missing_assertion,ddc968f559f671e42944635a9ffb56b2a2d9a938d167546c5349f617a09fa9f0,34673c3bc97f938c3530a095148c58022be9d79996fed41f295418f6705ac4f2
linux-x64-reference,clean_valid_assertion,clean_valid_assertion,verified_archive,1,quarantine,retain_all,accept,accept,1,policy_accept,policy_accept,1,5,retention,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:pass:valid_binding:0|retention:emit:policy_accept:1,6,6,0,0,valid_binding,valid_binding,ddc968f559f671e42944635a9ffb56b2a2d9a938d167546c5349f617a09fa9f0,ddc968f559f671e42944635a9ffb56b2a2d9a938d167546c5349f617a09fa9f0
linux-x64-reference,duplicate_assertion,duplicate_assertion,minimal_export,0,strip,strip_all,quarantine,quarantine,1,integrity_assertion_multiple,integrity_assertion_multiple,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_multiple:1,0,0,0,0,multiple_assertions,not_emitted,acbbc23d6ffd50301ec72484cf233f071789caf339221a06fadcc4d859279d4c,
linux-x64-reference,duplicate_assertion,duplicate_assertion,open_catalog,0,allow,retain_all,quarantine,quarantine,1,integrity_assertion_multiple,integrity_assertion_multiple,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_multiple:1,0,0,0,0,multiple_assertions,not_emitted,acbbc23d6ffd50301ec72484cf233f071789caf339221a06fadcc4d859279d4c,
linux-x64-reference,duplicate_assertion,duplicate_assertion,privacy_review,0,quarantine,allow_visual_context,quarantine,quarantine,1,integrity_assertion_multiple,integrity_assertion_multiple,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_multiple:1,0,0,0,0,multiple_assertions,not_emitted,acbbc23d6ffd50301ec72484cf233f071789caf339221a06fadcc4d859279d4c,
linux-x64-reference,duplicate_assertion,duplicate_assertion,verified_archive,1,quarantine,retain_all,quarantine,quarantine,1,integrity_assertion_multiple,integrity_assertion_multiple,0,4,integrity,resource:pass:within_resource_budget:0|coverage:pass:coverage_complete:0|opacity:pass:no_opaque_metadata:0|integrity:stop:integrity_assertion_multiple:1,0,0,0,0,multiple_assertions,not_emitted,acbbc23d6ffd50301ec72484cf233f071789caf339221a06fadcc4d859279d4c,
linux-x64-reference,incomplete_relationship,incomplete_relationship,minimal_export,0,strip,strip_all,quarantine,quarantine,1,coverage_extended_xmp_incomplete,coverage_extended_xmp_incomplete,0,2,coverage,resource:pass:within_resource_budget:0|coverage:stop:coverage_extended_xmp_incomplete:1,0,0,0,0,not_evaluated,not_emitted,fa858d8492a2dcd158db6131bd323196ec5cf2707c5da6320d55e6b3bd4604e7,
linux-x64-reference,incomplete_relationship,incomplete_relationship,open_catalog,0,allow,retain_all,quarantine,quarantine,1,coverage_extended_xmp_incomplete,coverage_extended_xmp_incomplete,0,2,coverage,resource:pass:within_resource_budget:0|coverage:stop:coverage_extended_xmp_incomplete:1,0,0,0,0,not_evaluated,not_emitted,fa858d8492a2dcd158db6131bd323196ec5cf2707c5da6320d55e6b3bd4604e7,
linux-x64-reference,incomplete_relationship,incomplete_relationship,privacy_review,0,quarantine,allow_visual_context,quarantine,quarantine,1,coverage_extended_xmp_incomplete,coverage_extended_xmp_incomplete,0,2,coverage,resource:pass:within_resource_budget:0|coverage:stop:coverage_extended_xmp_incomplete:1,0,0,0,0,not_evaluated,not_emitted,fa858d8492a2dcd158db6131bd323196ec5cf2707c5da6320d55e6b3bd4604e7,
linux-x64-reference,incomplete_relationship,incomplete_relationship,verified_archive,1,quarantine,retain_all,quarantine,quarantine,1,coverage_extended_xmp_incomplete,coverage_extended_xmp_incomplete,0,2,coverage,resource:pass:within_resource_budget:0|coverage:stop:coverage_extended_xmp_incomplete:1,0,0,0,0,not_evaluated,not_emitted,fa858d8492a2dcd158db6131bd323196ec5cf2707c5da6320d55e6b3bd4604e7,
