fixture,condition,file_name,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,syntactically_parsed,exact_source_reconstruction,source_bytes,source_characters,token_count,significant_token_count,trivia_token_count,comment_count,header_record_count,data_section_count,entity_count,simple_entity_count,complex_entity_count,reference_count,diagnostic_line,diagnostic_column,schema_conformance,source_sha256
geometry_control,v021_closed_tetrahedron_through_unified_parser,geometry_control.step,accept,accept,1,source_model_parsed,source_model_parsed,1,1,2950,2950,1118,1035,83,0,3,1,74,74,0,97,,,not_evaluated,609254c253acc8ef0552b65fa0ae88ca85d5e911e23736fca0909819c59f033a
trivia_preservation,whitespace_comments_and_escaped_apostrophe,trivia_preservation.step,accept,accept,1,source_model_parsed,source_model_parsed,1,1,347,347,89,68,21,2,3,1,1,1,0,0,,,not_evaluated,2e61fb58eddb981d069e3e0c6a2d802208282fbbfa848500f66ac98e905765b1
utf8_coordinates,utf8_byte_and_character_offsets_diverge,utf8_coordinates.step,accept,accept,1,source_model_parsed,source_model_parsed,1,1,290,283,74,63,11,0,3,1,2,2,0,1,,,not_evaluated,5dea34a62e818663a7fabbcbe2d47437d1f2262a366cba848be68dcc5e37ef91
simple_and_complex,simple_and_subsuper_records_share_one_grammar,simple_and_complex.step,accept,accept,1,source_model_parsed,source_model_parsed,1,1,313,313,80,68,12,0,3,1,2,1,1,0,,,not_evaluated,2f56318ba75e0fbb0f9df6def63dcfd12877117e243bab1b4ffe63b578cfded3
forward_reference,reference_precedes_target_definition,forward_reference.step,accept,accept,1,source_model_parsed,source_model_parsed,1,1,280,280,74,63,11,0,3,1,2,2,0,1,,,not_evaluated,d63bec4695f36f0c0c125d34116369d77c125832eadc3ca69db5775b318d3edf
missing_semicolon,entity_terminator_is_missing,missing_semicolon.step,reject,reject,1,unexpected_token,unexpected_token,0,0,267,0,0,0,0,0,0,0,0,0,0,0,9,1,not_evaluated,db13313b9dc17f7f54f71adcad336138472eccc5f31f2762cdcb647a5e57e45a
unterminated_comment,comment_reaches_end_of_file,unterminated_comment.step,reject,reject,1,unterminated_comment,unterminated_comment,0,0,276,0,0,0,0,0,0,0,0,0,0,0,9,1,not_evaluated,c9edb8331c996874dba240745cda3e8fcdb72f9a75845b6f7559df98702f8977
nesting_limit,aggregate_depth_exceeds_explicit_budget,nesting_limit.step,quarantine,quarantine,1,nesting_depth_limit,nesting_depth_limit,0,0,283,0,0,0,0,0,0,0,0,0,0,0,8,19,not_evaluated,ceb274513a226c37c45c56cbf0a13747364640ce840330d855be2bb1d7422b66
token_length_limit,one_string_exceeds_explicit_budget,token_length_limit.step,quarantine,quarantine,1,token_length_limit,token_length_limit,0,0,311,0,0,0,0,0,0,0,0,0,0,0,8,9,not_evaluated,a933560c0f9fbe6747b1acfca20c5c62108a0713965fd78c2b720a77fec89bb6
invalid_utf8,source_contains_invalid_utf8_octets,invalid_utf8.step,reject,reject,1,invalid_utf8,invalid_utf8,0,0,268,0,0,0,0,0,0,0,0,0,0,0,,,not_evaluated,78fe3ea6f510a43188292faa292ced09a66d4234d7a8fb1d28a370d6feb50cd4
