platform_label,fixture_id,fixture_family,mutation,source_strict_accept,source_issue_codes,source_decode_success,encoder,policy,policy_action,output_emitted,output_strict_accept,output_issue_codes,output_decode_success,input_envelope_bytes,envelope_contract_applicable,input_envelope_byte_exact,semantic_contract_applicable,supported_semantics_retained,output_exif_orientation,output_icc_profile_sha256,compressed_core_exact,pixels_exact_to_reencode_control,reencode_mean_absolute_error,reencode_maximum_absolute_error,output_size_bytes,output_sha256,output_bgr_sha256,error_category
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,pillow,preserve,blind_copy_input_envelope,1,0,adobe_conflicting_transform,1,32,1,1,0,n/a,,,1,1,0.036680912,7,2734,f8b0f05c8d04291b43693561729cf945ef9c6d4beb55551a0ce10b8df155ddab,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,pillow,strip,strip_input_metadata,1,1,none,1,32,1,0,0,n/a,,,1,1,0.036680912,7,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,pillow,normalize,strip_invalid_input_metadata,1,1,none,1,32,1,0,0,n/a,,,1,1,0.036680912,7,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,pillow,reject,strict_reject,0,n/a,n/a,0,32,0,n/a,0,n/a,,,n/a,n/a,nan,nan,0,,,strict_policy_reject
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,opencv,preserve,blind_copy_input_envelope,1,0,adobe_conflicting_transform,1,32,1,1,0,n/a,,,1,1,0.036680912,7,2734,f8b0f05c8d04291b43693561729cf945ef9c6d4beb55551a0ce10b8df155ddab,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,opencv,strip,strip_input_metadata,1,1,none,1,32,1,0,0,n/a,,,1,1,0.036680912,7,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,opencv,normalize,strip_invalid_input_metadata,1,1,none,1,32,1,0,0,n/a,,,1,1,0.036680912,7,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,1,opencv,reject,strict_reject,0,n/a,n/a,0,32,0,n/a,0,n/a,,,n/a,n/a,nan,nan,0,,,strict_policy_reject
linux-x64-reference,app15_large_valid,resource_boundary,single_60000_byte_app15,1,none,1,pillow,preserve,blind_copy_input_envelope,1,1,none,1,60004,1,1,0,n/a,,,1,1,0.036680912,7,62706,5edac94a6a66210ea8bc96af5990c0f6b42afdf5060ac1919a332e664d39909a,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
linux-x64-reference,app15_large_valid,resource_boundary,single_60000_byte_app15,1,none,1,pillow,strip,strip_input_metadata,1,1,none,1,60004,1,0,0,n/a,,,1,1,0.036680912,7,2702,4918ff536d48ca95b0a4d6bca816ea627df42af453021b8460d98bccff01f854,4b7bda68721cd85bfa8ee91894c8f5ed12a7118dd47baec4610d765867b92d19,none
