contract_version,control_id,stage,source_file,source_sha256,relation_id,analysis_edge_index,first_node_id,second_node_id,curve_type,length,edge_tolerance,representative_normal_dot,representative_normals_parallel,topology_provenance,geometry_provenance,exchange_provenance
1.0.0,plain_block,constructed,,,e1,1,f1,f3,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e2,2,f1,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e3,3,f1,f4,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e4,4,f1,f5,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e5,5,f2,f3,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e6,6,f2,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e7,7,f2,f4,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e8,8,f2,f5,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e9,9,f3,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e10,10,f3,f6,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e11,11,f4,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,e12,12,f4,f6,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e1,1,f1,f3,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e2,2,f1,f5,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e3,3,f1,f4,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e4,4,f1,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e5,5,f2,f3,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e6,6,f2,f5,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e7,7,f2,f4,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e8,8,f2,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e9,9,f3,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e10,10,f3,f6,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e11,11,f4,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,e12,12,f4,f6,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,constructed,,,e1,1,f1,f2,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e2,2,f1,f3,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e3,3,f1,f4,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e4,4,f1,f5,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e5,5,f2,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e6,6,f2,f6,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e7,7,f2,f3,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e8,8,f3,f4,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e9,9,f3,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e10,10,f3,f7,circle,7.8539816339744828,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e11,11,f4,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e12,12,f4,f6,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e13,13,f5,f6,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,e14,14,f5,f7,circle,7.8539816339744828,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e1,1,f1,f2,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e2,2,f1,f5,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e3,3,f1,f4,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e4,4,f1,f3,line,8,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e5,5,f2,f5,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e6,6,f2,f3,line,12,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,e7,7,f2,f6,line,6,9.9999999999999995e-08,0,0,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
