platform_label,operation_id,control_id,operation_type,input_observation_id,output_observation_id,requested_tolerance,maximum_tolerance_limit,local_tolerances_mode,nonmanifold_mode,performed,reported_modified,modified_input_face_count,reported_free_edge_count,reported_contiguous_edge_count,reported_multiple_edge_count,reported_deleted_face_count,reported_degenerated_shape_count,topology_changed,tolerance_changed,geometry_changed,kernel_validity_change,decision,decision_reason
linux-x64-reference,sew_coincident_box_faces_tol_1e_7,coincident_box_faces,sew_faces,coincident_box_faces__constructed,coincident_box_faces__sewn_tol_1e_7,9.9999999999999995e-08,,0,0,1,1,6,0,12,0,0,0,1,0,0,1->1,accepted_control,coincident boundaries form the exact positive control
linux-x64-reference,sew_coincident_box_faces_tol_1e_6,coincident_box_faces,sew_faces,coincident_box_faces__constructed,coincident_box_faces__sewn_tol_1e_6,9.9999999999999995e-07,,0,0,1,1,6,0,12,0,0,0,1,0,0,1->1,accepted_control,coincident boundaries form the exact positive control
linux-x64-reference,sew_coincident_box_faces_tol_1e_4,coincident_box_faces,sew_faces,coincident_box_faces__constructed,coincident_box_faces__sewn_tol_1e_4,0.0001,,0,0,1,1,6,0,12,0,0,0,1,0,0,1->1,accepted_control,coincident boundaries form the exact positive control
linux-x64-reference,sew_small_gap_box_faces_tol_1e_7,small_gap_box_faces,sew_faces,small_gap_box_faces__constructed,small_gap_box_faces__sewn_tol_1e_7,9.9999999999999995e-08,,0,0,1,1,5,8,8,0,0,0,1,0,0,1->1,not_closed,the controlled free boundary remains after sewing
linux-x64-reference,sew_small_gap_box_faces_tol_1e_6,small_gap_box_faces,sew_faces,small_gap_box_faces__constructed,small_gap_box_faces__sewn_tol_1e_6,9.9999999999999995e-07,,0,0,1,1,6,0,12,0,0,0,1,1,0,1->1,review_required,closure depends on a tolerance envelope across a real gap
linux-x64-reference,sew_small_gap_box_faces_tol_1e_4,small_gap_box_faces,sew_faces,small_gap_box_faces__constructed,small_gap_box_faces__sewn_tol_1e_4,0.0001,,0,0,1,1,6,0,12,0,0,0,1,1,0,1->1,review_required,closure depends on a tolerance envelope across a real gap
linux-x64-reference,sew_large_gap_box_faces_tol_1e_7,large_gap_box_faces,sew_faces,large_gap_box_faces__constructed,large_gap_box_faces__sewn_tol_1e_7,9.9999999999999995e-08,,0,0,1,1,5,8,8,0,0,0,1,0,0,1->1,not_closed,the controlled free boundary remains after sewing
linux-x64-reference,sew_large_gap_box_faces_tol_1e_6,large_gap_box_faces,sew_faces,large_gap_box_faces__constructed,large_gap_box_faces__sewn_tol_1e_6,9.9999999999999995e-07,,0,0,1,1,5,8,8,0,0,0,1,0,0,1->1,not_closed,the controlled free boundary remains after sewing
linux-x64-reference,sew_large_gap_box_faces_tol_1e_4,large_gap_box_faces,sew_faces,large_gap_box_faces__constructed,large_gap_box_faces__sewn_tol_1e_4,0.0001,,0,0,1,1,6,0,12,0,0,0,1,1,0,1->1,review_required,closure depends on a tolerance envelope across a real gap
linux-x64-reference,fix_orientation_valid_box_shell,valid_box_shell,fix_face_orientation,valid_box_shell__orientation_input,valid_box_shell__orientation_repaired,,,,0,1,0,,,,,,,0,0,0,1->1,no_change,the valid shell requires no orientation change
linux-x64-reference,fix_orientation_flipped_face_box_shell,flipped_face_box_shell,fix_face_orientation,flipped_face_box_shell__orientation_input,flipped_face_box_shell__orientation_repaired,,,,0,1,1,,,,,,,0,0,0,1->1,accepted_control,one controlled reversed face is reoriented
linux-x64-reference,limit_large_gap_tolerance_to_1e_5,large_gap_box_faces,limit_tolerance,large_gap_box_faces__sewn_tol_1e_4,large_gap_box_faces__tolerance_capped_1e_5,,1.0000000000000001e-05,,,1,1,,,,,,,0,1,0,1->0,rejected_invalid,lowering stored tolerances below the sewn residual invalidates the shape
