fixture,category,condition,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,schema_identifier,product_definition_count,path_count,relation_count,representation_item_count,placement_count,unit_count,diagnostic_count,source_sha256
ap242_block_path,resolved_path,"one product definition, shape representation, placement, block, and SI context units",accept,accept,1,ap242_paths_resolved,ap242_paths_resolved,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,1,12,2,1,3,0,60161041f3890d6dc46e5e11b0ab0bcca3f0c5c60c90f34a78f5b54b52a5fd21
ap242_advanced_brep_root,representation_subtype,the checked tetrahedron exposed through an advanced B-rep representation root,accept,accept,1,ap242_paths_resolved,ap242_paths_resolved,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,1,12,2,1,3,0,5d1a71dbf3db89a7ac8253fb90bc46a396eb547c876318e0036ee97848a6d033
ap242_multiple_representations,path_multiplicity,one product definition associated with two shape representations,accept,accept,1,ap242_paths_resolved,ap242_paths_resolved,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,2,23,3,2,6,0,9934136fcfc821bfac031e11c9da7bc82d4fcc5f18bf3826d705dde5c188b950
ap214_schema_boundary,schema_boundary,the same entity names declared under an unsupported application schema,quarantine,quarantine,1,unsupported_application_schema,unsupported_application_schema,AUTOMOTIVE_DESIGN,1,0,0,0,0,0,1,17cabda24886c215a46b8076a7ac25cf6455ee61792c58654079a87d39f81060
no_product_definition,optional_path,an AP242 data section without a product-definition root,quarantine,quarantine,1,product_definition_not_found,product_definition_not_found,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,1,6e46de065d4153e89b6b743f53f16824388c1c36f99741b190cd308add130fda
product_without_shape,optional_path,a product definition without a product-definition shape,quarantine,quarantine,1,product_definition_shape_not_found,product_definition_shape_not_found,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,0,0,0,0,0,1,f8e6f9cd372971c32faf59a691288fd17e730ce0e95941d345056d4f90c0c042
shape_without_representation,optional_path,a product-definition shape without a representation association,quarantine,quarantine,1,shape_representation_not_found,shape_representation_not_found,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,0,0,0,0,0,1,57504250db331f07e1b83720086f55237fafe1747fb148bc8c43125a8ae52f8d
unsupported_representation,subset_boundary,a shape association targeting a representation outside the controlled subset,quarantine,quarantine,1,representation_type_deferred,representation_type_deferred,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,0,0,0,0,0,1,bd79225f019a73ac4a5391a629f121e7f67b07fe6e2a40f75f93e72e0937e7fe
context_without_units,context_boundary,a geometric representation context without explicit global assigned units,quarantine,quarantine,1,global_units_not_available,global_units_not_available,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,0,0,0,0,0,1,2b399627be0580715a013c119b8f61d42cc2a07f28c275d39df9b6b23468e01d
unclassified_item,item_boundary,a representation item type outside the controlled classifier,quarantine,quarantine,1,representation_item_type_deferred,representation_item_type_deferred,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,1,12,2,1,3,1,4bc0a0032facf800b28277c2c63f4b7f09e5609c8f076716369c533da3ec30a6
wrong_formation_target,semantic_invalidity,product-definition formation points to a non-product entity,reject,reject,1,unexpected_semantic_target,unexpected_semantic_target,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,0,0,0,0,0,1,16c1b1394373217ac9044fe6564bf174a78526939ffaa6d4e8a60a06701933ab
unresolved_formation,semantic_invalidity,product definition points to an absent local formation,reject,reject,1,unresolved_semantic_reference,unresolved_semantic_reference,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,0,0,0,0,0,1,979e6ad56c85ea0c1042513b61b5459393685d305cee676024180c000717b68d
product_parameter_count,semantic_invalidity,product encoding omits its frame-of-reference parameter,reject,reject,1,semantic_parameter_count_mismatch,semantic_parameter_count_mismatch,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,0,0,0,0,0,1,b654a507d4c9c1230dcbee751a6b989fb095b707392a2721255a48feabe950f9
path_budget,resource_boundary,two valid paths exceed a one-path semantic work budget,quarantine,quarantine,1,ap242_path_limit,ap242_path_limit,,0,0,0,0,0,0,0,9934136fcfc821bfac031e11c9da7bc82d4fcc5f18bf3826d705dde5c188b950
