fixture,category,condition,file_name,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,features,schema_count,interface_count,type_count,entity_count,algorithm_count,constant_count,explicit_attribute_count,derived_attribute_count,inverse_attribute_count,where_rule_count,unique_rule_count,token_count,trivia_token_count,source_bytes,exact_reconstruction,diagnostic_line,diagnostic_column,symbol_resolution,type_checking,expression_validation,rule_execution,source_sha256
minimal_schema,schema,empty_schema_envelope,minimal_schema.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,,1,0,0,0,0,0,0,0,0,0,0,5,3,25,1,,,not_attempted,not_attempted,envelope_only,not_attempted,30e93673210a4f772a07a0ebf20358d6d9815e6de57ea77cfa62e1d8d33562b4
mixed_case,lexical,case_insensitive_keywords_and_names,mixed_case.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,case_insensitive_keyword|type_simple,1,0,1,0,0,0,0,0,0,0,0,12,8,56,1,,,not_attempted,not_attempted,envelope_only,not_attempted,7be91b3a3d556ae4e0775eefac161a3d1f5c4acd92781b3388d1fa31a530ee9f
comments,lexical,tail_and_nested_block_comments,comments.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,block_comment|tail_comment,1,0,0,0,0,0,0,0,0,0,0,5,6,84,1,,,not_attempted,not_attempted,envelope_only,not_attempted,f3ebbf250f81aada5c29d48dd37cef74320f348ff8be95d432b1664e65e6fd3a
type_alias_where,type,alias_with_width_fixed_and_where,type_alias_where.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,type_simple|where_rule,1,0,1,0,0,0,0,0,0,1,0,23,15,98,1,,,not_attempted,not_attempted,envelope_only,not_attempted,96e5b116254142313db9a72c04ce53f321c3a6b0531966c380b8e933763a6dab
enumeration_type,type,enumeration_members,enumeration_type.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,type_enumeration,1,0,1,0,0,0,0,0,0,0,0,20,12,92,1,,,not_attempted,not_attempted,envelope_only,not_attempted,63125b8c998fa1ecd4e32d070cb366ff41be7704cb3c41f0cc6a1a2631d0f186
select_type,type,select_members,select_type.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,type_select,1,0,1,0,0,0,0,0,0,0,0,19,11,84,1,,,not_attempted,not_attempted,envelope_only,not_attempted,403191bc03c23ab66931d9846443236d11d019dd60d9f6d26868d611832e1e5e
aggregate_type,type,bounded_unique_list,aggregate_type.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,type_aggregate,1,0,1,0,0,0,0,0,0,0,0,20,12,79,1,,,not_attempted,not_attempted,envelope_only,not_attempted,ebe5441943df38bb2f0cd3a7348b290a792d9c527e18d1b988948fd11a443a88
explicit_attributes,entity,required_and_optional_attributes,explicit_attributes.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,attribute_explicit|entity,1,0,0,1,0,0,2,0,0,0,0,19,13,110,1,,,not_attempted,not_attempted,envelope_only,not_attempted,9e9fc7319a3df4540494c9983b0cc664143996eb46edb88a0cc2271b40e41f56
entity_inheritance,entity,abstract_supertype_and_subtype,entity_inheritance.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,attribute_explicit|entity|inheritance_syntax,1,0,0,3,0,0,1,0,0,0,0,45,26,222,1,,,not_attempted,not_attempted,envelope_only,not_attempted,b2680cf03b58a314bd447b77348548148d07e26e9c56574eccbea795dbda5c83
derived_attribute,entity,derived_expression_envelope,derived_attribute.exp,accept,accept,1,controlled_syntax_conforms,controlled_syntax_conforms,attribute_derived|attribute_explicit|entity,1,0,0,1,0,0,2,1,0,0,0,25,18,139,1,,,not_attempted,not_attempted,envelope_only,not_attempted,3107f2fef4579d534b4ab1122a0048e8dbd2772f1f38a6a67888226408b5d32e
