fixture,category,expected_decision,parser,outcome,return_code,diagnostic_class,agreement_with_fixture_expectation
edition1_minimal,edition,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition1_minimal,edition,accept,steputils,accept,0,none,1
edition1_minimal,edition,accept,ifcopenshell_step_file_parser,accept,0,none,1
edition1_legacy_x2,character_encoding,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition1_legacy_x2,character_encoding,accept,steputils,accept,0,none,1
edition1_legacy_x2,character_encoding,accept,ifcopenshell_step_file_parser,accept,0,none,1
edition1_legacy_controls,character_encoding,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition1_legacy_controls,character_encoding,accept,steputils,accept,0,none,1
edition1_legacy_controls,character_encoding,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition1_binary,binary,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition1_binary,binary,accept,steputils,accept,0,none,1
edition1_binary,binary,accept,ifcopenshell_step_file_parser,accept,0,none,1
edition1_comment,comment,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition1_comment,comment,accept,steputils,accept,0,none,1
edition1_comment,comment,accept,ifcopenshell_step_file_parser,accept,0,none,1
edition2_multiple_data,edition,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition2_multiple_data,edition,accept,steputils,reject,1,ParseError,0
edition2_multiple_data,edition,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition2_section_context,header,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition2_section_context,header,accept,steputils,accept,0,none,1
edition2_section_context,header,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition3_utf8,character_encoding,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition3_utf8,character_encoding,accept,steputils,reject,1,ParseError,0
edition3_utf8,character_encoding,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition3_anchor,anchor,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition3_anchor,anchor,accept,steputils,reject,1,ParseError,0
edition3_anchor,anchor,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition3_reference,external_reference,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition3_reference,external_reference,accept,steputils,reject,1,ParseError,0
edition3_reference,external_reference,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition3_signature,signature,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition3_signature,signature,accept,steputils,accept,0,none,1
edition3_signature,signature,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition3_constant,constant,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition3_constant,constant,accept,steputils,reject,1,ParseError,0
edition3_constant,constant,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition3_value_reference,value_instance,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition3_value_reference,value_instance,accept,steputils,reject,1,ParseError,0
edition3_value_reference,value_instance,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
complex_entity,entity_mapping,accept,research_notes,accept,0,controlled_syntax_conforms,1
complex_entity,entity_mapping,accept,steputils,accept,0,none,1
complex_entity,entity_mapping,accept,ifcopenshell_step_file_parser,accept,0,none,1
user_defined_keyword,keyword,accept,research_notes,accept,0,controlled_syntax_conforms,1
user_defined_keyword,keyword,accept,steputils,accept,0,none,1
user_defined_keyword,keyword,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
edition3_no_data,edition,accept,research_notes,accept,0,controlled_syntax_conforms,1
edition3_no_data,edition,accept,steputils,accept,0,none,1
edition3_no_data,edition,accept,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,0
invalid_real_leading_dot,number,reject,research_notes,reject,1,invalid_real,1
invalid_real_leading_dot,number,reject,steputils,reject,1,ParseError,1
invalid_real_leading_dot,number,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
invalid_real_exponent,number,reject,research_notes,reject,1,invalid_real,1
invalid_real_exponent,number,reject,steputils,accept,0,none,0
invalid_real_exponent,number,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
lowercase_keyword,keyword,reject,research_notes,reject,1,invalid_keyword,1
lowercase_keyword,keyword,reject,steputils,reject,1,ParseError,1
lowercase_keyword,keyword,reject,ifcopenshell_step_file_parser,reject,1,CollectedValidationErrors,1
